CiteKey,Lat,Lon,Class,FishFamily,FishSp,SppGrouped,HighlyMigratory,HabitatZone,Lifestage,HabitatType,HabitatSpecies,HabitatFunction,MicroHabitat,ObsType,DepthZone,AreaOfStudy,FisheryImpact,FishStock,FishStockReason,NotesFishery,,Notes
npfmc2016fishery,34.32,-125.5,actinopterygii,gadidae,gadus macrocephalus,,,epipelagic,juvenile,soft-sediment;rock,,physiochem,mostly occurs over the inner continental shelf,catch-survey,<200,>100ha,,,,,,
npfmc2016fishery,36.5,-126.5,actinopterygii,gadidae,gadus macrocephalus,,,epipelagic,juvenile,soft-sediment;rock,,physiochem,mostly occurs over the inner continental shelf,catch-survey,<200,>100ha,,,,,,
npfmc2016fishery,38.8,-126.5,actinopterygii,gadidae,gadus macrocephalus,,,epipelagic,juvenile,soft-sediment;rock,,physiochem,mostly occurs over the inner continental shelf,catch-survey,<200,>100ha,,,,,,
npfmc2016fishery,40.6,-127,actinopterygii,gadidae,gadus macrocephalus,,,epipelagic,juvenile,soft-sediment;rock,,physiochem,mostly occurs over the inner continental shelf,catch-survey,<200,>100ha,,,,,,
npfmc2016fishery,43.6,-127,actinopterygii,gadidae,gadus macrocephalus,,,epipelagic,juvenile,soft-sediment;rock,,physiochem,mostly occurs over the inner continental shelf,catch-survey,<200,>100ha,,,,,,
npfmc2016fishery,46.6,-128.4,actinopterygii,gadidae,gadus macrocephalus,,,epipelagic,juvenile,soft-sediment;rock,,physiochem,mostly occurs over the inner continental shelf,catch-survey,<200,>100ha,,,,,,
npfmc2016fishery,49.2,-130.2,actinopterygii,gadidae,gadus macrocephalus,,,epipelagic,juvenile,soft-sediment;rock,,physiochem,mostly occurs over the inner continental shelf,catch-survey,<200,>100ha,,,,,,
npfmc2016fishery,52.25,-134.3,actinopterygii,gadidae,gadus macrocephalus,,,epipelagic,juvenile,soft-sediment;rock,,physiochem,mostly occurs over the inner continental shelf,catch-survey,<200,>100ha,,,,,,
npfmc2016fishery,55.8,-137.8,actinopterygii,gadidae,gadus macrocephalus,,,epipelagic,juvenile,soft-sediment;rock,,physiochem,mostly occurs over the inner continental shelf,catch-survey,<200,>100ha,,,,,,
npfmc2016fishery,58.2,-140.5,actinopterygii,gadidae,gadus macrocephalus,,,epipelagic,juvenile,soft-sediment;rock,,physiochem,mostly occurs over the inner continental shelf,catch-survey,<200,>100ha,,,,,,
npfmc2016fishery,58.8,-145.7,actinopterygii,gadidae,gadus macrocephalus,,,epipelagic,juvenile,soft-sediment;rock,,physiochem,mostly occurs over the inner continental shelf,catch-survey,<200,>100ha,,,,,,
npfmc2016fishery,58.1,-150.1,actinopterygii,gadidae,gadus macrocephalus,,,epipelagic,juvenile,soft-sediment;rock,,physiochem,mostly occurs over the inner continental shelf,catch-survey,<200,>100ha,,,,,,
